label	layer	phase	bucket	count	mean_cos	mean_rel_l2	mean_rms_delta	mean_mean_abs_delta	mean_max_abs_delta	mean_router_top1_match	mean_router_topk_jaccard	mean_router_margin_delta
base_k100	0	attention_output	0-64	320	0.399160093	0.063005749	-0.002422992	-0.001176587	-0.119335938	nan	nan	nan
base_k100	0	attention_output	1024-1000000000	196	0.499121902	0.057925072	-0.001149626	-0.000476697	-0.054846939	nan	nan	nan
base_k100	0	attention_output	256-512	20	0.399280566	0.058275212	-0.005846989	-0.003202868	-0.225000000	nan	nan	nan
base_k100	0	attention_output	512-768	20	0.399228358	0.060349098	-0.004477775	-0.001898652	-0.256250000	nan	nan	nan
base_k100	0	attention_output	64-256	15	0.399307358	0.057732403	-0.002401511	-0.000019105	-0.300000000	nan	nan	nan
base_k100	0	attention_output	768-1024	21	0.380219894	0.061060125	-0.001231642	-0.000727415	+0.035714286	nan	nan	nan
base_k100	0	attention_output	all	592	0.431593799	0.060645558	-0.002143694	-0.000992454	-0.105257601	nan	nan	nan
base_k100	0	input	0-64	320	0.400000190	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	input	1024-1000000000	196	0.500000221	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	input	256-512	20	0.400000185	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	input	512-768	20	0.400000155	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	input	64-256	15	0.400000167	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	input	768-1024	21	0.380952597	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	input	all	592	0.432432632	0.000000000	+0.000000000	+0.000000000	+0.000000000	nan	nan	nan
base_k100	0	mlp_output	0-64	320	0.399768447	0.035413803	+0.021621756	+0.019239350	+0.023828125	nan	nan	nan
base_k100	0	mlp_output	1024-1000000000	196	0.499756726	0.033745825	+0.017444175	+0.009816535	+0.093112245	nan	nan	nan
base_k100	0	mlp_output	256-512	20	0.399824628	0.032102577	+0.057752228	+0.028609443	+0.325000000	nan	nan	nan
base_k100	0	mlp_output	512-768	20	0.399741921	0.039202881	+0.066568899	+0.032575107	+0.350000000	nan	nan	nan
base_k100	0	mlp_output	64-256	15	0.399854132	0.040756086	+0.144915040	+0.084992727	+0.850000000	nan	nan	nan
base_k100	0	mlp_output	768-1024	21	0.380716315	0.031547512	-0.001339867	+0.019389198	-0.011904762	nan	nan	nan
base_k100	0	mlp_output	all	592	0.432200012	0.034794601	+0.025287215	+0.018558088	+0.087626689	nan	nan	nan
base_k100	0	moe_output	0-64	320	0.395694952	0.092079363	-0.000495959	-0.000419818	-0.000430298	nan	nan	nan
base_k100	0	moe_output	1024-1000000000	196	0.498026770	0.076006112	-0.000272141	-0.000205769	-0.003188776	nan	nan	nan
base_k100	0	moe_output	256-512	20	0.399399701	0.063237744	-0.000507883	-0.000381011	-0.003906250	nan	nan	nan
base_k100	0	moe_output	512-768	20	0.397101316	0.092368991	+0.000398611	+0.000293408	+0.003417969	nan	nan	nan
base_k100	0	moe_output	64-256	15	0.399039745	0.073938856	-0.000422828	-0.000285018	-0.004427083	nan	nan	nan
base_k100	0	moe_output	768-1024	21	0.378169454	0.112953099	-0.000631660	-0.000443406	-0.010881696	nan	nan	nan
base_k100	0	moe_output	all	592	0.429210822	0.085261208	-0.000394999	-0.000320965	-0.001803012	nan	nan	nan
base_k100	0	output	0-64	320	0.399554005	0.039443400	-0.000510092	-0.000222728	-0.006250000	nan	nan	nan
base_k100	0	output	1024-1000000000	196	0.499645379	0.034776580	+0.000169284	-0.000057813	-0.012117347	nan	nan	nan
base_k100	0	output	256-512	20	0.399782819	0.031588478	-0.001486927	-0.000049551	-0.200000000	nan	nan	nan
base_k100	0	output	512-768	20	0.399570435	0.040561880	-0.000511390	+0.000064102	-0.087500000	nan	nan	nan
base_k100	0	output	64-256	15	0.399821397	0.029780946	-0.002597340	+0.000169716	-0.166666667	nan	nan	nan
